     Datum; ;        Gewinnzahlen;ZZ;S;Spiel77;Super6;  Spieleinsatz;Anz. Kl. 1;  Quote Kl. 1;Anz. Kl. 2;  Quote Kl. 2;Anz. Kl. 3;  Quote Kl. 3;Anz. Kl. 4;  Quote Kl. 4;Anz. Kl. 5;  Quote Kl. 5;Anz. Kl. 6;  Quote Kl. 6;Anz. Kl. 7;  Quote Kl. 7;Anz. Kl. 8;  Quote Kl. 8;Anz. Kl. 9;  Quote Kl. 9
16.05.2018; ;13;19;12; 2;46;34;--;--;9;7392559;086995; 20.606.169,00;   Jackpot; 4.035.600,80;   Jackpot;   764.248,90;        23;    16.614,10;       273;     4.199,10;     1.871;       204,20;    17.343;        44,00;    35.302;        21,60;   334.132;        10,20;   268.360;         5,00
19.05.2018; ;41;27;44; 3;49; 4;--;--;2;9406893;709460; 43.805.912,00;   Jackpot; 6.839.179,10;   Jackpot; 2.406.220,10;        45;    18.244,10;       532;     4.629,60;     3.217;       255,20;    33.090;        49,60;    66.985;        24,50;   689.071;        10,70;   535.933;         5,00
23.05.2018; ;29;45;16; 7;47;36;--;--;6;2556316;482810; 20.891.560,00;         1;11.352.207,50;        --;           --;        33;    11.662,80;       268;     4.308,20;     1.772;       217,10;    13.665;        56,30;    34.248;        22,40;   271.275;        12,70;   282.247;         5,00
26.05.2018; ;48;27;24;16;47;10;--;--;6;0760671;080563; 42.978.956,00;   Jackpot; 2.750.653,10;         1; 1.557.010,90;        56;    13.901,80;       482;     4.845,40;     4.018;       193,70;    33.483;        46,50;    82.989;        18,70;   683.851;        10,20;   633.743;         5,00
30.05.2018; ;29;15;35;23;38;48;--;--;2;3288763;923110; 20.820.659,00;   Jackpot; 4.083.175,20;         1;   803.198,20;        28;    14.342,80;       290;     4.154,40;     1.323;       303,50;    15.227;        52,70;    25.688;        31,20;   277.866;        13,00;   209.165;         5,00
02.06.2018; ;24;30; 1;19;31;10;--;--;7;0495582;002852; 43.497.175,00;         2; 3.433.497,20;         1; 1.518.784,80;       133;     5.709,70;     1.015;     2.244,50;     6.898;       110,00;    51.358;        29,50;   114.601;        13,20;   854.038;         8,00;   755.384;         5,00
06.06.2018; ;18;13; 3;15; 8;42;--;--;6;6540641;923187; 19.917.027,00;   Jackpot; 1.274.689,70;   Jackpot;   720.710,80;        29;    12.426,00;       315;     3.431,90;     2.125;       169,50;    17.274;        41,70;    39.820;        18,00;   322.416;        10,00;   295.343;         5,00
09.06.2018; ;39;13;34;16;42;35;--;--;9;3214733;826418; 42.634.521,00;   Jackpot; 4.003.299,00;         2; 1.164.101,40;        63;    12.757,80;       432;     5.581,50;     3.052;       263,30;    27.234;        59,00;    62.462;        25,70;   569.848;        12,60;   502.746;         5,00
13.06.2018; ; 4;48; 3; 6;10;46;--;--;3;9193099;719071; 20.832.196,00;   Jackpot; 5.336.559,50;         3;   245.942,20;        28;    13.175,40;       313;     3.535,90;     2.356;       156,50;    18.961;        38,90;    45.695;        16,10;   358.176;         9,20;   340.914;         5,00
16.06.2018; ;46;40;19; 4;31;33;--;--;2;3831971;740325; 43.152.464,00;         1; 8.098.317,10;         5;   322.418,50;       144;     5.597,50;     1.399;     1.728,40;     5.005;       161,00;    51.431;        31,30;    79.717;        20,20;   802.754;         9,00;   538.709;         5,00
